Group num: 0, TC(X;Y_j): 7.701
green_12, 1.036
green_14, 1.033
green_9, 1.018
green_7, 0.980
green_4, 0.977
green_8, 0.976
green_0, 0.941
green_10, 0.692
green_3, 0.674
green_5, 0.511
green_6, 0.258
green_2, 0.157
green_11, 0.097
green_1, 0.080
pink_7, 0.011
pink_4, 0.008
pink_3, 0.007
pink_6, 0.007
aquamarine_1, 0.007
green_13, 0.006
gold_7, 0.006
tomato_6, 0.005
pink_8, 0.005
pink_5, 0.005
tomato_2, 0.005
palegreen_4, 0.004
yellow_0, 0.004
red_1, 0.004
tomato_5, 0.004
seashell_4, 0.004
hotpink_6, 0.003
red_5, 0.003
papayawhip_1, 0.003
pink_0, 0.003
chartreuse_0, 0.003
hotpink_2, 0.003
blue_4, 0.003
tomato_7, 0.003
indigo_2, 0.003
darkseagreen_1, 0.003
indigo_5, 0.003
red_14, 0.003
tomato_4, 0.003
tomato_1, 0.003
pink_1, 0.003
blanchedalmond_1, 0.003
indianred_1, 0.003
mistyrose_10, 0.002
mistyrose_8, 0.002
darkslategrey_4, 0.002
red_7, 0.002
palegreen_1, 0.002
mistyrose_1, 0.002
mistyrose_2, 0.002
darkslategrey_1, 0.002
red_0, 0.002
red_9, 0.002
hotpink_9, 0.002
red_11, 0.002
red_6, 0.002
black_9, 0.002
yellow_10, 0.002
indigo_4, 0.002
indigo_9, 0.002
indianred_3, 0.002
mistyrose_0, 0.002
gold_9, 0.002
dimgray_2, 0.002
red_8, 0.002
indianred_4, 0.002
darkolivegreen_7, 0.002
papayawhip_2, 0.002
mistyrose_7, 0.002
mistyrose_4, 0.002
gold_5, 0.002
red_10, 0.002
lightcoral_8, 0.002
seashell_3, 0.002
greenyellow_2, 0.001
palegreen_6, 0.001
peachpuff_3, 0.001
indigo_0, 0.001
indianred_2, 0.001
black_2, 0.001
indigo_12, 0.001
yellow_6, 0.001
indianred_5, 0.001
indianred_8, 0.001
palegreen_5, 0.001
hotpink_8, 0.001
mistyrose_9, 0.001
peachpuff_0, 0.001
indigo_1, 0.001
red_3, 0.001
indianred_11, 0.001
tomato_8, 0.001
dimgray_3, 0.001
mediumspringgreen_3, 0.001
black_6, 0.001
black_5, 0.001
indigo_10, 0.001
indigo_11, 0.001
lightcoral_3, 0.001
firebrick_11, 0.001
gold_12, 0.001
indigo_8, 0.001
darkolivegreen_8, 0.001
indigo_7, 0.001
mediumspringgreen_4, 0.001
yellow_8, 0.001
darkseagreen_4, 0.001
dimgray_1, 0.001
blanchedalmond_0, 0.001
mistyrose_6, 0.001
blue_10, 0.001
mediumspringgreen_2, 0.001
